ParkName,State,parklat,parklon,AnnualVisitors, ClosestAirportCity, airportlat, airportlon ,pname,tname
Acadia National Park, Maine,44.3386,-68.2733,3500000, Bar Harbor,44.3876,-68.2039,precipplot_AcadiaNationalPark.png,plot_AcadiaNationalPark.png
Arches National Park, Utah,38.7331,-109.5925,1700000, Moab,38.5733,-109.5498,precipplot_ArchesNationalPark.png,plot_ArchesNationalPark.png
Badlands National Park, South Dakota,43.8554,-102.3397,1100000, Rapid City,44.076,-103.228,precipplot_BadlandsNationalPark.png,plot_BadlandsNationalPark.png
Big Bend National Park, Texas,29.2504,-103.25,463832, Midland/Odessa,31.8457,-102.3676,precipplot_BigBendNationalPark.png,plot_BigBendNationalPark.png
Biscayne National Park, Florida,25.415,-80.335,708522, Miami,25.7617,-80.1918,precipplot_BiscayneNationalPark.png,plot_BiscayneNationalPark.png
Black Canyon of the Gunnison National Park, Colorado,38.5704,-107.7247,432818, Montrose,38.4783,-107.8762,precipplot_BlackCanyonoftheGunnisonNationalPark.png,plot_BlackCanyonoftheGunnisonNationalPark.png
Bryce Canyon National Park, Utah,37.593,-112.1871,2500000, Cedar City,37.6775,-113.0619,precipplot_BryceCanyonNationalPark.png,plot_BryceCanyonNationalPark.png
Canyonlands National Park, Utah,38.3269,-109.8783,820659, Moab,38.5733,-109.5498,precipplot_CanyonlandsNationalPark.png,plot_CanyonlandsNationalPark.png
Capitol Reef National Park, Utah,38.3661,-111.2615,1200000, Hanksville,38.3714,-110.835,precipplot_CapitolReefNationalPark.png,plot_CapitolReefNationalPark.png
Carlsbad Caverns National Park, New Mexico,32.1753,-104.4437,440691, Carlsbad,32.4207,-104.2288,precipplot_CarlsbadCavernsNationalPark.png,plot_CarlsbadCavernsNationalPark.png
Channel Islands National Park, California,34.005,-119.783,364807, Oxnard,34.1975,-119.1771,precipplot_ChannelIslandsNationalPark.png,plot_ChannelIslandsNationalPark.png
Congaree National Park, South Carolina,33.789,-80.7819,145929, Columbia,34.0007,-81.0348,precipplot_CongareeNationalPark.png,plot_CongareeNationalPark.png
Crater Lake National Park, Oregon,42.8684,-122.1685,776202, Medford/Klamath Falls,42.3265,-122.8756,precipplot_CraterLakeNationalPark.png,plot_CraterLakeNationalPark.png
Cuyahoga Valley National Park, Ohio,41.2808,-81.5678,2800000, Cleveland/Akron,41.0814,-81.519,precipplot_CuyahogaValleyNationalPark.png,plot_CuyahogaValleyNationalPark.png
