park,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Acadia National Park,4.9,4.3,5.4,4.7,4.6,4.1,3.5,3.3,4.4,5.3,6.4,5.4
Arches National Park,1.6,0.8,0.6,0.5,0.6,0.4,0.6,0.8,1,0.9,0.8,1.8
Badlands National Park,1.1,2.2,3.4,3.5,2.8,2.6,1.8,1.4,1.2,1.5,1.8,1.6
Big Bend National Park,0.7,0.4,0.3,0.4,1.5,1.6,1.9,2,1.8,0.7,0.8,0.5
Biscayne National Park,1.5,1.5,1.8,2.1,3.6,6.3,4.8,5.3,5.8,4,1.9,1.3
Black Canyon of the Gunnison National Park,3.1,2.4,1.8,1.2,0.8,0.5,0.9,1.1,1.3,1.3,2,3.4
Bryce Canyon National Park,5.5,6.6,4.7,2.1,0.9,0.5,0.7,0.9,1.1,2.2,3.6,4.4
Canyonlands National Park,1.6,0.8,0.6,0.5,0.6,0.4,0.6,0.8,1,0.9,0.8,1.8
Capitol Reef National Park,0.5,0.5,0.5,0.5,0.6,0.3,1,1.1,1,0.9,0.5,0.4
Carlsbad Caverns National Park,0.2,0.2,0.3,0.4,0.8,1.1,1.5,1.6,1.8,0.9,0.4,0.3
Channel Islands National Park,2.3,2.9,1.8,0.6,0.2,0.1,0,0,0.1,0.4,0.9,1.9
Congaree National Park,4.7,4.3,3.5,2.8,2.8,3.7,3.8,4,3.5,3,2.6,3.7
Crater Lake National Park,6.2,4.6,3.2,1.7,1.1,0.6,0.3,0.2,0.5,1.3,4.5,7.7
Cuyahoga Valley National Park,4.3,4.7,4.3,2.9,2.9,3.2,2.9,2.8,2.9,2.5,2.7,4.1
Death Valley National Park,0.2,0.3,0.2,0.1,0,0,0.1,0.1,0.1,0.1,0.2,0.2
Everglades National Park,1.7,1.9,1.9,2.8,5.9,9,7,8.3,8.8,5.6,2.3,1.4
Gates of the Arctic National Park and Preserve,6.5,6.1,4.4,2.7,1.4,1.5,2.2,2.6,3.3,5.9,6.7,6.4
Gateway Arch National Park,4.8,4.5,3.7,3.8,4.1,3.7,3,2.8,3,2.9,3.7,4.5
Glacier National Park,7.5,5.2,3.6,1.9,2.1,2.7,1.2,0.9,1.2,1.9,5.1,8.4
Grand Canyon National Park,4.8,4.5,3.8,1.7,0.5,0.3,1.1,1.4,1.1,1.1,2,3.9
Grand Teton National Park,12.6,9.6,6,3.7,2.4,1.3,0.8,0.8,1.3,2.8,9,12.9
Great Basin National Park,3.3,3.6,3,2.6,1.4,0.5,0.4,0.6,0.8,1.3,2,3.2
Great Sand Dunes National Park and Preserve,3.8,3.8,3.7,3,1.3,0.5,1.1,1.3,1,1.8,3.7,4.4
Great Smoky Mountains National Park,6,5.9,4.6,4.1,3.6,3.6,3.6,3,3.1,2.7,3.7,5
Guadalupe Mountains National Park,0.2,0.3,0.3,0.3,0.6,1.1,1.7,1.7,1.8,0.9,0.5,0.3
Haleakala National Park,1.7,1.5,1.8,1.4,0.7,0.3,0.5,0.7,0.8,1,1.2,1.6
Hot Springs National Park,5.8,5.7,5.1,4.9,4.9,3.5,3.1,2.7,3.2,4.2,5.1,6.4
Indiana Dunes National Park,4.2,4.5,3.3,3.1,3.5,3.6,3.3,3.4,3.1,2.8,2.8,4
Isle Royale National Park,4.4,3.1,3.8,4,2.4,2.6,2.3,2,2.2,2.5,3.9,4.8
Joshua Tree National Park,0.9,1,0.6,0.2,0.1,0,0.3,0.4,0.3,0.2,0.3,0.7
Katmai National Park and Preserve,5.5,4.6,2,2.2,1.3,1.4,2.3,3,3.1,3.8,5.3,5.6
Kenai Fjords National Park,26.9,22.4,15.7,8.9,4.9,4.1,4.7,6.8,9.8,11.3,19.1,27.4
Kings Canyon National Park,4.7,4.6,4.2,2.2,0.9,0.3,0.1,0,0.4,1.2,2.6,3.7
Kobuk Valley National Park,7.6,7.7,5.3,3.6,1.7,1.5,2.9,3.6,3,6,8.8,7.5
Lake Clark National Park and Preserve,0.8,0.9,0.7,0.5,0.4,0.7,1.3,1.9,2.2,1.5,1.5,0.9
