park,month,hightemp,lowtemp
Acadia National Park,Jan,32,17
Acadia National Park,Feb,34,19
Acadia National Park,Mar,40,36
Acadia National Park,Apr,50,36
Acadia National Park,May,59,44
Acadia National Park,Jun,67,52
Acadia National Park,Jul,73,57
Acadia National Park,Aug,72,57
Acadia National Park,Sep,65,51
Acadia National Park,Oct,56,43
Acadia National Park,Nov,46,34
Acadia National Park,Dec,37,24
Arches National Park,Jan,40,21
Arches National Park,Feb,49,28
Arches National Park,Mar,60,36
Arches National Park,Apr,69,43
Arches National Park,May,79,52
Arches National Park,Jun,90,62
Arches National Park,Jul,95,68
Arches National Park,Aug,91,65
Arches National Park,Sep,82,57
Arches National Park,Oct,69,44
Arches National Park,Nov,53,32
Arches National Park,Dec,41,23
Badlands National Park,Jan,35,13
Badlands National Park,Feb,40,17
Badlands National Park,Mar,51,25
Badlands National Park,Apr,62,35
Badlands National Park,May,71,46
Badlands National Park,Jun,82,55
Badlands National Park,Jul,90,61
Badlands National Park,Aug,89,60
Badlands National Park,Sep,78,49
Badlands National Park,Oct,63,36
Badlands National Park,Nov,48,23
Badlands National Park,Dec,36,14
Big Bend National Park,Jan,62,38
Big Bend National Park,Feb,68,42
Big Bend National Park,Mar,75,48
Big Bend National Park,Apr,83,56
Big Bend National Park,May,89,63
Big Bend National Park,Jun,95,70
Big Bend National Park,Jul,93,71
Big Bend National Park,Aug,92,71
Big Bend National Park,Sep,86,65
Big Bend National Park,Oct,81,57
Big Bend National Park,Nov,71,47
Big Bend National Park,Dec,63,39
Biscayne National Park,Jan,75,61
Biscayne National Park,Feb,77,62
Biscayne National Park,Mar,79,65
Biscayne National Park,Apr,82,69
Biscayne National Park,May,85,73
Biscayne National Park,Jun,87,76
Biscayne National Park,Jul,89,78
Biscayne National Park,Aug,89,78
Biscayne National Park,Sep,87,77
Biscayne National Park,Oct,84,73
Biscayne National Park,Nov,80,68
Biscayne National Park,Dec,77,64
Black Canyon of the Gunnison National Park,Jan,38,17
Black Canyon of the Gunnison National Park,Feb,45,23
Black Canyon of the Gunnison National Park,Mar,55,30
Black Canyon of the Gunnison National Park,Apr,64,37
Black Canyon of the Gunnison National Park,May,73,45
Black Canyon of the Gunnison National Park,Jun,84,53
Black Canyon of the Gunnison National Park,Jul,88,59
Black Canyon of the Gunnison National Park,Aug,85,57
Black Canyon of the Gunnison National Park,Sep,77,49
Black Canyon of the Gunnison National Park,Oct,65,38
Black Canyon of the Gunnison National Park,Nov,50,27
Black Canyon of the Gunnison National Park,Dec,39,19
Bryce Canyon National Park,Jan,35,10
Bryce Canyon National Park,Feb,39,14
Bryce Canyon National Park,Mar,46,20
Bryce Canyon National Park,Apr,55,26
Bryce Canyon National Park,May,64,32
Bryce Canyon National Park,Jun,75,39
Bryce Canyon National Park,Jul,80,46
Bryce Canyon National Park,Aug,77,45
Bryce Canyon National Park,Sep,70,37
Bryce Canyon National Park,Oct,58,28
Bryce Canyon National Park,Nov,45,19
Bryce Canyon National Park,Dec,36,11
Canyonlands National Park,Jan,40,21
Canyonlands National Park,Feb,49,28
Canyonlands National Park,Mar,60,36
Canyonlands National Park,Apr,69,43
Canyonlands National Park,May,79,52
Canyonlands National Park,Jun,90,62
Canyonlands National Park,Jul,95,68
Canyonlands National Park,Aug,91,65
Canyonlands National Park,Sep,82,57
Canyonlands National Park,Oct,69,44
Canyonlands National Park,Nov,53,32
Canyonlands National Park,Dec,41,23
Capitol Reef National Park,Jan,41,20
Capitol Reef National Park,Feb,47,26
Capitol Reef National Park,Mar,58,34
Capitol Reef National Park,Apr,65,39
Capitol Reef National Park,May,74,48
Capitol Reef National Park,Jun,87,58
Capitol Reef National Park,Jul,91,65
Capitol Reef National Park,Aug,88,63
Capitol Reef National Park,Sep,80,55
Capitol Reef National Park,Oct,66,43
Capitol Reef National Park,Nov,51,31
Capitol Reef National Park,Dec,40,21
Carlsbad Caverns National Park,Jan,59,31
Carlsbad Caverns National Park,Feb,65,36
Carlsbad Caverns National Park,Mar,73,42
